text,emotion
dipeluk enak nih,Happy
masih dongg wkkwkwtar klo gk semangat gk bisa bucinin bebep2 aku,Happy
semangat dan bertambah kuatlah kalian frp_natsud_ frp_lucyheart frp_wendy ~,Happy
jangan lupa sarapann semangat buat hari inii ayang semoga harimu menyenangkan !!,Happy
aw ikut seneng semangat ya kuliahnya!,Happy
semangat!!,Happy
senang bermain salju,Happy
"nikmati, bisa senang-senang bareng teman tapi tetap produktif,",Happy
"akhirnya syuting lagii, semangat ayank",Happy
"kalau yg cuma kembang tahu doang, aku belum pernah coba tapi pasti enak.,duh lupa namanya",Happy
"ingett wkwk. iyaa dog lalu kita bertiga , sama dina mabuk kepayang sama legollas, pinjam cd nya di rentalan , astagaa kita remaja bahagia ya waktu ity",Happy
semangat kak. sudah terima chat wa dari kemenkes belum. disana ada petunjuk konsul gratis online dan tebus obat.,Happy
semangat ngantornyaa,Happy
pokok semangat sek,Happy
"happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu dan kamunya sukses terus, bahagia selalu, dikasih banyak rejeki & kedamaian hidup, banyak yg makin sayang sama kmu juga! have a wonderful day",Happy
"hai kak hwii!! don't skip ur breakfast yaa,semoga harinya berjalan lancar,dimudahkan segala urusannya,dijauhkan dari marabahaya,semoga selalu ada dlm lindungan tuhan,janlup vitaminnya ya,semangat!! janlup senyum hihi,stay healthy & always be happy!! have a great day kak",Happy
semangat buat hari ini!,Happy
"sering-sering bikin au taeyong yaakk, seruu! semangat teruss nob",Happy
semangat kamuu,Happy
"ojo lali , ngemil ceria by",Happy
"semangat buat hari ini, have a great day",Happy
"terlalu dini menjadi tulang punggung keluarga,ya sama.semangat kamu lantas berbahagia apapun kondisinya",Happy
agak enak ya kakk jadi nya,Happy
semangat,Happy
kombo diluc-raiden enak kok.. gk terlalu mental2 masih bisa dijangkau,Happy
"peluk kakak semangat terus ya pokoknya, banyak yang sayang sama kakak di sini,yoon ji lagi cosplay jadi warga lokal",Happy
"wkskwkw aku juga pernahh jadinya sampe gabisa buat buka galeri ya allah cape banget ya hp penuh tuh, wkskwk semangat anya bersih bersihnya wkwkw hapus apk yang udah ga dipake aja",Happy
"benar guys, nasi goreng.,simple, cepat, dan enak.,saatnya lanjut beres2 dah, ini rumah udh kaya' gak ada penghuninya, debu udh mulai bermunculan lagi.",Happy
kasih semangat dong moots,Happy
"selamat pagi., salam sehat n bahagia untuk semua",Happy
